epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.8075,1.58171,4.9493,1.42635,0,0,0,0,1.77322,5.2215,1.57821,2e-05,2e-05,2e-05
2,169.26,1.34715,4.79708,1.23903,0,0,0,0,1.4016,5.02972,1.25227,4.16585e-05,4.16585e-05,4.16585e-05
3,229.957,1.24331,4.72203,1.11973,0,0,0,0,1.31529,4.88871,1.08877,6.2426e-05,6.2426e-05,6.2426e-05
4,286.201,1.12628,4.50556,1.06281,0,0,0,0,1.29696,4.7414,1.02462,8.23025e-05,8.23025e-05,8.23025e-05
5,341.587,1.05029,4.27357,1.05195,0,0,0,0,1.25316,4.59536,0.99902,0.000101288,0.000101288,0.000101288
6,398.771,1.08914,4.0728,1.06285,0.00078,0.00893,0.00035,0.00014,1.21893,4.4361,0.98361,0.000119382,0.000119382,0.000119382
7,452.893,1.09147,3.90686,1.05232,0.01695,0.20785,0.01659,0.01092,1.21342,4.23552,0.98667,0.000136586,0.000136586,0.000136586
8,507.193,1.02659,3.78059,1.04745,0.01902,0.47738,0.03772,0.02495,1.23178,4.02352,1.02307,0.000152899,0.000152899,0.000152899
9,560.6,1.05619,3.73865,1.05992,0.02206,0.6426,0.04811,0.03404,1.25686,3.89407,1.04437,0.00016832,0.00016832,0.00016832
10,614.099,1.06317,3.53384,1.07044,0.0209,0.62028,0.05766,0.04201,1.23769,3.84578,1.03756,0.000182851,0.000182851,0.000182851
11,672.203,1.00463,3.46759,1.04556,0.0207,0.64026,0.06967,0.04873,1.23595,3.788,1.04001,0.00019649,0.00019649,0.00019649
12,725.708,1.05018,3.45972,1.0572,0.33598,0.17542,0.08984,0.06307,1.22374,3.73147,1.0461,0.00019555,0.00019555,0.00019555
13,779.489,1.02492,3.31779,1.0633,0.41756,0.17534,0.10388,0.07458,1.20978,3.68115,1.05194,0.0001906,0.0001906,0.0001906
14,832.207,1.02559,3.08128,1.07652,0.6456,0.08272,0.10869,0.07908,1.21015,3.6188,1.06016,0.00018565,0.00018565,0.00018565
15,920.864,1.01561,3.10507,1.04597,0.65958,0.08628,0.10791,0.07778,1.21849,3.55243,1.06748,0.0001807,0.0001807,0.0001807
16,975.959,0.98709,2.96967,1.06476,0.65266,0.10701,0.12282,0.08933,1.21842,3.44236,1.08063,0.00017575,0.00017575,0.00017575
17,1059.88,0.98612,3.07806,1.04586,0.76108,0.1109,0.14032,0.1007,1.24605,3.43874,1.10603,0.0001708,0.0001708,0.0001708
18,1142.3,0.9921,2.78952,1.0488,0.74246,0.11741,0.14523,0.10402,1.22527,3.40513,1.10719,0.00016585,0.00016585,0.00016585
19,1193.43,0.97807,2.81616,1.05523,0.67747,0.13397,0.15596,0.11058,1.19844,3.35396,1.10314,0.0001609,0.0001609,0.0001609
20,1243.82,0.95893,2.73326,1.03821,0.67324,0.16583,0.16955,0.11888,1.22097,3.22806,1.11006,0.00015595,0.00015595,0.00015595
21,1293.08,1.00709,2.68412,1.04111,0.63288,0.16764,0.19247,0.1356,1.2228,3.1077,1.10619,0.000151,0.000151,0.000151
22,1342.9,0.99671,2.55018,1.06121,0.54166,0.21724,0.20197,0.1421,1.21103,3.00683,1.09953,0.00014605,0.00014605,0.00014605
23,1392.37,0.98343,2.64686,1.04718,0.54901,0.20996,0.21826,0.15501,1.22447,2.99666,1.1094,0.0001411,0.0001411,0.0001411
24,1453.28,0.98983,2.55415,1.05457,0.5199,0.26465,0.20496,0.14486,1.21687,3.01043,1.11001,0.00013615,0.00013615,0.00013615
25,1510.67,1.00047,2.37815,1.05206,0.47957,0.27009,0.21429,0.14798,1.21475,3.00024,1.11096,0.0001312,0.0001312,0.0001312
26,1562.09,0.97751,2.47776,1.05602,0.40749,0.25456,0.21197,0.14725,1.21808,3.01408,1.11583,0.00012625,0.00012625,0.00012625
27,1614.56,0.95806,2.31925,1.03671,0.44818,0.24799,0.2113,0.14524,1.22547,3.03126,1.12221,0.0001213,0.0001213,0.0001213
28,1671.43,0.99093,2.6081,1.06886,0.46623,0.28598,0.21549,0.14583,1.2318,2.99581,1.13345,0.00011635,0.00011635,0.00011635
29,1722.57,0.99162,2.29167,1.06297,0.42721,0.29079,0.2237,0.14895,1.22968,2.96177,1.13538,0.0001114,0.0001114,0.0001114
30,1774.37,0.98802,2.33339,1.06361,0.40459,0.32092,0.22738,0.15246,1.22316,2.90261,1.13623,0.00010645,0.00010645,0.00010645
31,1826.73,0.95788,2.16451,1.03259,0.39593,0.33654,0.23853,0.15999,1.21208,2.87508,1.125,0.0001015,0.0001015,0.0001015
32,1950.64,0.9335,2.18305,1.05557,0.3978,0.35046,0.25648,0.17444,1.20618,2.9542,1.12598,9.655e-05,9.655e-05,9.655e-05
33,2002.4,0.92774,2.21238,1.01986,0.39597,0.34516,0.24501,0.16654,1.21131,2.97348,1.13241,9.16e-05,9.16e-05,9.16e-05
34,2054.37,0.96751,2.21998,1.04092,0.3823,0.3479,0.24682,0.16637,1.21169,2.95477,1.13632,8.665e-05,8.665e-05,8.665e-05
35,2107.79,0.90421,2.09678,1.02848,0.45726,0.30604,0.23452,0.15705,1.21613,2.94518,1.14661,8.17e-05,8.17e-05,8.17e-05
36,2168.61,0.92778,2.05317,1.02973,0.46336,0.3219,0.25014,0.16922,1.21138,2.92572,1.15589,7.675e-05,7.675e-05,7.675e-05
37,2324.55,0.92781,2.07283,1.02631,0.46549,0.32566,0.25038,0.1693,1.21048,2.90627,1.15345,7.18e-05,7.18e-05,7.18e-05
38,2428.39,0.92436,1.98077,1.03584,0.46871,0.31766,0.248,0.16657,1.20262,2.88827,1.14931,6.685e-05,6.685e-05,6.685e-05
39,2498.26,0.93216,1.98403,1.02467,0.37573,0.42519,0.25288,0.16936,1.19784,2.90068,1.15133,6.19e-05,6.19e-05,6.19e-05
40,2602.89,0.88993,1.8797,1.02214,0.37431,0.43901,0.25616,0.17414,1.19409,2.90438,1.15517,5.695e-05,5.695e-05,5.695e-05
41,2706.11,0.91234,2.14883,1.05367,0.33602,0.49987,0.27239,0.18775,1.19417,2.87982,1.15536,5.2e-05,5.2e-05,5.2e-05
42,2782.38,0.8969,2.06436,1.03895,0.35049,0.46966,0.26948,0.18309,1.19915,2.84042,1.15429,4.705e-05,4.705e-05,4.705e-05
43,2827.95,0.89904,2.14197,1.02812,0.35805,0.43708,0.27862,0.1908,1.2052,2.81085,1.15564,4.21e-05,4.21e-05,4.21e-05
44,2879.07,0.8977,2.11251,1.03612,0.37123,0.45375,0.28584,0.19465,1.20651,2.77435,1.15231,3.715e-05,3.715e-05,3.715e-05
